id_frame;id_object;x_coord;y_coord;width;height;obj_class;obj_proba(%)
0;0;448;233;35;71;person;74.0
0;1;582;232;26;59;person;63.0
0;2;568;244;26;45;person;55.0
0;3;626;244;235;151;car;65.0
0;4;628;223;72;35;car;59.0
0;5;711;223;61;34;car;56.0
1;0;448;233;35;71;person;73.0
1;1;583;232;26;58;person;61.0
1;2;627;243;234;151;car;65.0
1;3;628;222;74;36;car;61.0
1;4;711;222;58;34;car;57.0
2;0;448;233;35;71;person;73.0
2;1;582;232;26;58;person;59.0
2;2;626;243;235;152;car;66.0
2;3;626;222;78;36;car;59.0
2;4;709;222;65;35;car;55.0
3;0;448;233;35;72;person;73.0
3;1;581;233;26;54;person;57.0
3;2;626;243;235;152;car;66.0
3;3;625;222;80;37;car;59.0
3;4;706;221;73;37;car;55.0
4;0;448;233;35;72;person;73.0
4;1;579;232;26;57;person;59.0
4;2;626;243;235;152;car;67.0
4;3;625;222;80;37;car;58.0
5;0;448;233;35;72;person;73.0
5;1;578;232;27;58;person;58.0
5;2;626;243;234;152;car;67.0
5;3;625;222;85;37;car;59.0
6;0;448;233;35;72;person;73.0
6;1;578;232;27;58;person;58.0
6;2;627;243;233;151;car;67.0
6;3;625;222;84;37;car;60.0
6;4;701;221;82;37;car;56.0
6;5;627;243;233;151;truck;55.0
7;0;448;233;35;72;person;72.0
7;1;577;232;27;58;person;59.0
7;2;627;243;233;152;car;67.0
7;3;625;222;81;37;car;59.0
7;4;702;222;81;36;car;55.0
7;5;627;243;233;152;truck;56.0
8;0;448;233;35;72;person;72.0
8;1;578;232;26;57;person;59.0
8;2;628;243;232;152;car;67.0
8;3;626;222;82;37;car;61.0
8;4;703;222;76;34;car;57.0
9;0;447;233;36;72;person;71.0
9;1;578;233;27;55;person;58.0
9;2;628;242;232;153;car;67.0
9;3;626;222;83;37;car;60.0
9;4;700;222;83;37;car;56.0
9;5;628;242;232;153;truck;56.0
10;0;447;233;36;72;person;72.0
10;1;580;232;27;55;person;58.0
10;2;628;242;231;153;car;67.0
10;3;626;222;81;37;car;61.0
10;4;705;221;75;37;car;58.0
11;0;448;233;35;72;person;72.0
11;1;581;233;26;54;person;59.0
11;2;628;242;232;152;car;67.0
11;3;627;222;76;36;car;63.0
11;4;710;222;63;35;car;59.0
11;5;628;242;232;152;truck;56.0
12;0;448;233;35;72;person;71.0
12;1;582;233;25;53;person;58.0
12;2;628;243;232;152;car;67.0
12;3;627;222;76;36;car;62.0
12;4;712;222;60;35;car;58.0
12;5;628;243;232;152;truck;55.0
13;0;448;233;35;72;person;71.0
13;1;582;232;27;55;person;57.0
13;2;627;243;233;152;car;67.0
13;3;627;223;78;35;car;59.0
13;4;713;223;59;34;car;56.0
13;5;627;243;233;152;truck;55.0
14;0;448;233;35;72;person;71.0
14;1;581;232;27;55;person;58.0
14;2;627;243;233;152;car;68.0
14;3;628;222;78;36;car;58.0
14;4;627;243;233;152;truck;55.0
15;0;448;233;35;72;person;71.0
15;1;581;231;27;57;person;58.0
15;2;627;243;232;152;car;68.0
15;3;628;222;75;36;car;58.0
15;4;713;223;58;34;car;56.0
15;5;627;243;232;152;truck;55.0
16;0;448;233;35;72;person;71.0
16;1;581;231;27;57;person;57.0
16;2;627;243;233;152;car;67.0
16;3;626;222;78;36;car;56.0
17;0;448;233;35;72;person;71.0
17;1;582;231;27;57;person;57.0
17;2;627;243;233;152;car;67.0
17;3;625;222;80;36;car;56.0
18;0;448;233;35;73;person;71.0
18;1;582;231;26;57;person;58.0
18;2;626;242;234;153;car;67.0
18;3;626;222;76;36;car;57.0
18;4;626;242;234;153;truck;55.0
19;0;448;233;35;72;person;71.0
19;1;582;231;27;57;person;59.0
19;2;626;243;234;152;car;66.0
19;3;627;222;74;36;car;57.0
20;0;448;233;35;72;person;71.0
20;1;582;231;27;56;person;58.0
20;2;626;243;234;152;car;66.0
21;0;448;233;35;72;person;71.0
21;1;581;231;27;57;person;58.0
21;2;626;243;234;152;car;65.0
22;0;448;233;35;72;person;71.0
22;1;579;231;28;58;person;60.0
22;2;626;243;233;152;car;66.0
23;0;448;233;35;72;person;71.0
23;1;578;231;28;60;person;62.0
23;2;562;243;27;45;person;56.0
23;3;626;244;233;151;car;66.0
24;0;448;233;35;72;person;71.0
24;1;578;231;28;60;person;63.0
24;2;563;243;26;45;person;56.0
24;3;626;243;233;152;car;66.0
24;4;627;222;74;35;car;56.0
25;0;448;233;35;72;person;71.0
25;1;578;230;28;61;person;62.0
25;2;563;242;26;47;person;56.0
25;3;626;243;234;153;car;65.0
26;0;448;234;34;72;person;70.0
26;1;578;230;28;61;person;62.0
26;2;563;242;26;46;person;56.0
26;3;627;243;232;152;car;65.0
26;4;627;222;75;34;car;55.0
27;0;448;233;34;73;person;70.0
27;1;577;231;28;60;person;64.0
27;2;563;242;27;47;person;57.0
27;3;628;244;231;151;car;65.0
27;4;627;222;73;34;car;57.0
28;0;448;232;34;73;person;70.0
28;1;577;231;29;60;person;64.0
28;2;564;243;27;47;person;57.0
28;3;628;244;231;151;car;66.0
28;4;628;222;72;34;car;56.0
29;0;448;233;35;72;person;70.0
29;1;579;231;28;60;person;63.0
29;2;564;244;27;44;person;56.0
29;3;628;244;231;151;car;66.0
29;4;629;222;71;34;car;58.0
29;5;708;223;75;32;car;56.0
30;0;448;233;34;72;person;69.0
30;1;578;231;28;59;person;61.0
30;2;563;243;26;44;person;55.0
30;3;628;244;231;151;car;66.0
30;4;629;223;70;33;car;58.0
30;5;709;223;72;32;car;57.0
31;0;448;233;34;72;person;69.0
31;1;578;231;28;60;person;60.0
31;2;627;244;232;151;car;65.0
31;3;628;222;72;34;car;56.0
32;0;448;233;34;72;person;70.0
32;1;579;230;28;61;person;61.0
32;2;627;244;232;151;car;65.0
32;3;627;222;73;35;car;56.0
33;0;448;233;34;72;person;70.0
33;1;577;231;29;60;person;63.0
33;2;563;243;27;48;person;56.0
33;3;628;245;231;150;car;65.0
34;0;449;233;33;72;person;70.0
34;1;576;232;28;59;person;64.0
34;2;564;241;27;50;person;58.0
34;3;628;245;232;150;car;66.0
35;0;448;233;34;72;person;70.0
35;1;575;231;28;61;person;64.0
35;2;563;241;27;50;person;58.0
35;3;628;245;231;150;car;66.0
36;0;448;233;34;72;person;71.0
36;1;577;231;28;60;person;61.0
36;2;563;242;26;49;person;55.0
36;3;629;245;230;150;car;65.0
37;0;449;234;33;71;person;71.0
37;1;575;232;29;59;person;63.0
37;2;563;241;26;50;person;57.0
37;3;651;626;80;89;person;56.0
37;4;629;245;229;150;car;65.0
38;0;449;234;33;71;person;71.0
38;1;573;232;27;60;person;64.0
38;2;562;239;26;51;person;59.0
38;3;643;622;84;95;person;58.0
38;4;630;246;227;148;car;66.0
39;0;449;235;33;70;person;70.0
39;1;571;233;27;56;person;63.0
39;2;638;620;87;97;person;61.0
39;3;561;239;26;48;person;59.0
39;4;629;245;229;150;car;65.0
40;0;450;234;32;71;person;70.0
40;1;635;618;83;99;person;64.0
40;2;571;233;28;57;person;64.0
40;3;562;241;26;47;person;59.0
40;4;629;245;229;150;car;66.0
41;0;449;234;34;71;person;71.0
41;1;567;234;29;58;person;66.0
41;2;633;618;83;100;person;64.0
41;3;561;240;28;51;person;61.0
41;4;629;245;229;150;car;66.0
41;5;628;222;70;35;car;56.0
41;6;707;222;75;32;car;55.0
42;0;449;234;34;71;person;71.0
42;1;566;234;29;58;person;66.0
42;2;633;617;83;101;person;64.0
42;3;561;240;28;51;person;61.0
42;4;629;245;229;150;car;67.0
42;5;628;222;71;35;car;56.0
42;6;707;222;75;32;car;56.0
43;0;449;234;34;71;person;71.0
43;1;566;232;29;59;person;66.0
43;2;632;617;81;102;person;65.0
43;3;628;245;230;150;car;66.0
43;4;627;222;72;34;car;58.0
43;5;708;221;73;33;car;57.0
44;0;449;234;33;71;person;71.0
44;1;569;231;29;60;person;66.0
44;2;631;614;78;106;person;63.0
44;3;559;236;29;56;person;61.0
44;4;628;245;229;150;car;66.0
44;5;628;222;69;34;car;59.0
44;6;711;221;68;32;car;57.0
45;0;450;235;33;70;person;71.0
45;1;567;232;29;59;person;66.0
45;2;627;614;80;106;person;64.0
45;3;558;236;29;56;person;63.0
45;4;421;249;24;49;person;55.0
45;5;629;245;228;150;car;66.0
45;6;628;222;67;34;car;58.0
45;7;710;221;70;32;car;57.0
46;0;450;235;33;70;person;71.0
46;1;563;233;28;56;person;64.0
46;2;554;237;29;54;person;63.0
46;3;618;611;84;109;person;62.0
46;4;421;250;24;48;person;55.0
46;5;629;245;229;149;car;66.0
46;6;627;222;72;34;car;57.0
46;7;706;221;78;32;car;57.0
47;0;450;235;33;69;person;71.0
47;1;560;233;28;57;person;65.0
47;2;553;237;29;55;person;65.0
47;3;613;609;81;111;person;62.0
47;4;420;250;24;48;person;56.0
47;5;630;245;228;149;car;66.0
47;6;627;222;70;34;car;57.0
47;7;707;221;77;32;car;57.0
48;0;449;235;34;69;person;72.0
48;1;551;238;30;55;person;67.0
48;2;420;249;25;49;person;56.0
48;3;629;245;229;150;car;65.0
48;4;627;222;72;34;car;57.0
48;5;705;221;82;33;car;56.0
49;0;449;235;35;70;person;72.0
49;1;549;238;31;55;person;67.0
49;2;593;604;73;114;person;58.0
49;3;420;249;25;49;person;56.0
49;4;628;245;230;150;car;66.0
49;5;627;222;72;35;car;58.0
49;6;702;221;87;33;car;56.0
50;0;449;235;34;70;person;72.0
50;1;549;237;32;59;person;67.0
50;2;588;603;75;117;person;63.0
50;3;421;249;24;48;person;55.0
50;4;629;245;228;150;car;66.0
50;5;627;221;72;36;car;57.0
50;6;700;221;88;33;car;56.0
51;0;449;235;34;70;person;72.0
51;1;550;238;31;55;person;66.0
51;2;577;598;84;122;person;61.0
51;3;421;249;24;48;person;55.0
51;4;629;246;228;149;car;65.0
51;5;627;221;70;35;car;57.0
51;6;700;221;88;32;car;56.0
52;0;449;235;34;69;person;72.0
52;1;549;237;31;57;person;67.0
52;2;570;595;86;125;person;64.0
52;3;422;249;23;48;person;55.0
52;4;629;246;227;149;car;65.0
52;5;627;221;70;36;car;58.0
52;6;702;221;85;32;car;57.0
53;0;449;235;34;70;person;72.0
53;1;547;237;32;58;person;69.0
53;2;559;593;91;127;person;63.0
53;3;629;246;228;149;car;64.0
53;4;626;221;72;36;car;58.0
53;5;697;221;93;33;car;56.0
54;0;450;235;33;70;person;72.0
54;1;546;238;31;56;person;69.0
54;2;558;592;91;128;person;56.0
54;3;629;247;228;148;car;67.0
54;4;626;222;71;35;car;58.0
54;5;700;221;86;32;car;56.0
