id_frame;id_object;x_coord;y_coord;width;height;obj_class;obj_proba(%)
0;0;575;233;26;65;can_opener;45
1;0;741;223;22;43;hand-held_computer;22
2;0;574;232;25;36;whistle;29
2;1;741;224;25;44;thresher;31
3;0;875;700;52;20;hourglass;14
3;1;741;222;25;45;thresher;36
4;0;868;697;58;23;hourglass;25
4;1;741;223;27;45;thresher;30
5;0;863;694;59;26;hourglass;31
5;1;742;224;27;44;thresher;56
6;0;857;692;59;28;hourglass;22
6;1;743;224;29;44;thresher;72
7;0;851;690;60;30;hourglass;21
7;1;744;224;26;43;thresher;91
8;0;844;688;62;32;hourglass;15
8;1;745;225;26;42;thresher;77
9;0;838;686;62;34;whistle;15
9;1;744;224;27;43;thresher;76
10;0;832;685;62;35;whistle;14
10;1;745;225;27;42;thresher;65
11;0;825;683;63;37;web_site;10
11;1;745;226;28;41;thresher;87
12;0;819;681;64;39;whistle;13
12;1;747;225;28;42;thresher;53
13;0;812;680;65;40;whistle;12
13;1;746;224;30;43;thresher;48
14;0;805;679;65;41;whistle;11
14;1;747;226;29;41;thresher;31
15;0;798;677;66;43;nipple;13
15;1;746;225;32;42;thresher;44
17;0;790;675;67;45;whistle;22
17;1;748;226;30;41;thresher;58
18;0;781;673;68;47;whistle;15
18;1;750;225;29;43;thresher;68
19;0;774;669;68;51;whistle;14
19;1;753;225;27;45;barrel;21
20;0;766;666;69;54;whistle;16
20;1;756;226;25;45;thresher;53
21;0;760;663;68;57;whistle;12
21;1;756;225;26;45;thresher;70
22;0;748;656;75;64;nipple;31
22;1;757;225;27;46;thresher;88
23;0;742;653;80;67;nipple;63
23;1;758;228;27;42;thresher;83
24;0;736;650;82;70;nipple;31
24;1;760;227;25;42;thresher;91
25;0;730;648;82;72;nipple;54
25;1;759;241;27;27;whistle;26
26;0;724;646;82;74;nipple;21
26;1;760;228;27;40;thresher;36
27;0;705;645;96;75;whistle;15
27;1;761;227;27;43;thresher;73
28;0;700;644;96;76;whistle;16
28;1;761;225;28;45;thresher;65
29;0;693;643;97;77;whistle;24
29;1;762;226;27;44;thresher;42
30;0;764;227;27;45;thresher;52
31;0;679;641;98;79;cucumber;11
31;1;766;226;26;48;thresher;31
32;0;672;639;98;81;vine_snake;11
32;1;568;231;31;38;muzzle;16
32;2;767;225;27;47;thresher;33
33;0;769;226;26;47;thresher;46
34;0;658;632;99;88;web_site;12
34;1;770;227;25;45;thresher;46
35;0;566;232;32;36;muzzle;16
35;1;771;228;25;44;milk_can;23
36;0;647;625;98;95;chain_saw;14
36;1;772;229;24;43;milk_can;54
37;0;564;232;34;36;book_jacket;23
37;1;772;229;27;43;milk_can;36
38;0;637;618;97;102;web_site;16
38;1;564;232;32;48;platypus;13
38;2;773;229;27;41;thresher;22
39;0;632;615;97;105;can_opener;12
39;1;563;232;33;59;can_opener;23
39;2;773;229;27;41;can_opener;36
40;0;627;612;98;108;web_site;12
40;1;562;232;33;66;safety_pin;18
40;2;773;228;27;42;can_opener;75
42;0;623;610;96;110;platypus;10
42;1;561;232;33;58;whistle;25
42;2;772;228;27;44;can_opener;43
43;0;617;609;97;111;platypus;23
43;1;561;232;33;62;can_opener;16
43;2;773;229;25;43;can_opener;60
44;0;612;608;97;112;platypus;24
44;1;560;232;33;60;can_opener;52
44;2;775;229;24;44;can_opener;35
45;0;607;606;97;114;platypus;29
45;1;559;232;33;61;can_opener;47
45;2;778;230;20;42;milk_can;74
46;0;602;605;97;115;web_site;17
46;1;559;233;32;62;safety_pin;54
47;0;592;604;102;116;chain_saw;34
47;1;558;231;33;69;safety_pin;79
47;2;782;228;25;44;thresher;12
48;0;587;602;96;118;platypus;22
48;1;568;252;21;47;whistle;25
49;0;785;231;25;44;thresher;17
50;0;576;598;95;122;web_site;12
50;1;786;242;24;32;milk_can;22
51;0;568;596;97;124;web_site;22
51;1;787;232;24;42;thresher;24
52;0;563;593;96;127;web_site;38
53;0;558;590;95;130;web_site;24
54;0;555;588;93;132;web_site;26
55;0;551;584;92;136;sleeping_bag;23
56;0;547;581;92;139;web_site;15
57;0;543;578;91;142;book_jacket;13
57;1;799;229;18;42;milk_can;15
58;0;539;576;91;144;sleeping_bag;15
58;1;798;229;20;46;whistle;21
59;0;534;575;91;145;bulletproof_vest;54
59;1;799;229;21;45;whistle;23
60;0;530;574;91;146;bulletproof_vest;20
60;1;796;229;24;47;whistle;26
61;0;525;574;91;146;bulletproof_vest;13
61;1;797;229;24;48;thresher;36
62;0;521;573;90;147;Kerry_blue_terrier;12
62;1;796;229;28;49;thresher;32
63;0;515;572;91;148;sleeping_bag;11
63;1;797;230;30;49;thresher;89
64;0;509;571;92;149;web_site;12
64;1;798;231;29;46;mousetrap;16
65;0;505;569;91;151;web_site;26
65;1;797;232;28;45;thresher;28
67;0;500;566;91;154;web_site;33
67;1;798;231;28;47;thresher;79
68;0;496;564;91;156;web_site;26
68;1;797;232;30;43;milk_can;39
69;0;492;560;90;160;web_site;39
69;1;799;231;29;44;thresher;42
70;0;487;558;90;162;iron;28
70;1;801;233;28;42;Brabancon_griffon;14
71;0;483;554;89;166;web_site;13
71;1;803;232;28;44;thresher;34
72;0;476;550;93;170;web_site;18
72;1;805;231;29;45;thresher;27
73;0;472;548;90;172;quill;22
73;1;809;233;25;40;thresher;28
74;0;469;546;90;174;quill;13
74;1;810;233;24;47;thresher;24
75;0;811;233;24;47;can_opener;19
76;0;461;544;91;176;quill;14
76;1;813;232;26;51;can_opener;12
77;0;458;543;91;177;book_jacket;12
77;1;813;225;26;58;lotion;15
78;0;454;543;92;177;neck_brace;21
78;1;554;238;29;28;platypus;23
78;2;812;222;27;60;thresher;19
79;0;450;542;91;178;neck_brace;25
79;1;812;224;28;53;web_site;11
80;0;468;699;39;21;analog_clock;18
80;1;446;542;90;178;potter's_wheel;38
80;2;812;224;27;55;modem;17
81;0;461;699;43;21;analog_clock;18
81;1;441;541;90;179;potter's_wheel;22
81;2;553;244;31;30;fox_squirrel;30
81;3;807;222;31;57;thresher;18
82;0;456;698;44;22;analog_clock;14
82;1;436;541;90;179;can_opener;22
82;2;816;223;22;56;desktop_computer;20
83;0;451;696;44;24;hourglass;18
83;1;431;539;89;181;iron;11
83;2;552;233;30;47;bulletproof_vest;36
84;0;426;537;88;183;shoe_shop;11
85;0;421;535;86;185;iron;15
85;1;552;232;28;56;platypus;39
85;2;819;221;19;57;turnstile;22
86;0;416;533;85;187;iron;35
86;1;551;240;29;52;muzzle;10
87;0;412;530;84;190;iron;20
87;1;550;234;29;42;platypus;16
87;2;819;225;20;53;thresher;13
88;0;408;528;83;192;iron;40
88;1;551;252;25;38;whistle;36
89;0;404;525;84;195;iron;19
89;1;815;225;22;54;folding_chair;22
90;0;400;523;82;197;iron;15
90;1;803;226;34;52;vine_snake;22
92;0;396;521;82;199;motor_scooter;12
93;0;391;520;82;200;waffle_iron;16
94;0;387;519;82;201;motor_scooter;14
94;1;801;224;34;34;thresher;68
95;0;799;221;39;33;thresher;66
96;0;375;519;86;201;drake;11
96;1;798;222;40;34;thresher;49
97;0;360;517;97;203;knee_pad;10
97;1;798;221;40;37;thresher;36
98;0;357;517;91;203;knee_pad;26
99;0;356;516;86;204;neck_brace;11
99;1;805;222;32;25;thresher;45
100;0;805;222;32;25;whistle;18
101;0;803;222;36;25;combination_lock;16
102;0;344;509;87;211;web_site;10
102;1;804;221;35;25;whistle;15
103;0;340;506;89;214;black_grouse;14
103;1;802;221;39;26;web_site;20
104;0;802;222;38;26;thresher;18
105;0;331;501;88;219;joystick;14
105;1;801;222;38;25;thresher;18
106;0;327;498;87;222;drake;20
106;1;802;221;38;26;thresher;31
107;0;324;496;86;224;drake;18
107;1;799;220;36;27;thresher;32
108;0;320;495;86;225;book_jacket;15
108;1;800;220;38;26;thresher;41
109;0;317;494;85;226;drake;21
109;1;799;220;37;26;thresher;54
110;0;1111;456;28;31;vine_snake;42
111;0;1112;456;27;31;vine_snake;46
111;1;800;225;35;22;thresher;15
112;0;287;492;106;228;knee_pad;16
112;1;328;631;53;70;tennis_ball;26
112;2;799;224;35;21;thresher;25
113;0;285;492;107;228;motor_scooter;24
113;1;324;621;46;49;binder;15
113;2;1030;432;32;28;vine_snake;17
113;3;799;225;35;22;whistle;12
114;0;284;491;107;229;barbell;25
114;1;1013;419;48;41;vine_snake;71
114;2;800;223;34;27;thresher;55
115;0;284;490;106;230;motor_scooter;12
117;0;287;488;105;232;joystick;11
117;1;959;396;54;39;vine_snake;34
117;2;798;225;39;22;thresher;16
118;0;283;486;109;234;ballplayer;16
118;1;931;397;53;31;vine_snake;50
119;0;279;484;109;236;joystick;32
119;1;909;389;52;38;vine_snake;78
119;2;798;225;37;22;thresher;28
120;0;90;693;33;27;digital_clock;13
120;1;275;481;107;239;motor_scooter;18
121;0;271;479;102;241;joystick;16
121;1;847;370;39;30;vine_snake;57
122;0;43;670;69;50;vine_snake;11
122;1;265;474;99;246;motor_scooter;20
122;2;847;370;39;30;vine_snake;42
122;3;799;224;35;33;vine_snake;57
123;0;36;658;69;62;can_opener;13
123;1;261;473;83;242;drake;41
123;2;773;340;40;33;vine_snake;22
123;3;800;224;32;32;vine_snake;70
124;0;26;651;63;69;can_opener;28
124;1;258;472;75;237;drake;62
124;2;756;329;56;43;vine_snake;82
125;0;15;640;59;80;can_opener;18
125;1;254;472;74;230;drake;45
125;2;732;313;54;46;vine_snake;85
126;0;6;630;61;82;whistle;14
126;1;250;471;75;220;drake;36
126;2;696;310;64;39;vine_snake;56
127;0;0;622;50;82;can_opener;23
127;1;246;471;76;219;drake;52
127;2;684;303;53;43;whistle;11
127;3;801;223;28;33;thresher;26
128;0;243;471;76;221;drake;29
128;1;662;285;51;47;vine_snake;50
129;0;239;471;79;221;motor_scooter;28
129;1;634;285;57;37;letter_opener;10
129;2;800;224;29;32;vine_snake;19
130;0;0;630;34;56;vine_snake;18
130;1;235;470;82;223;motor_scooter;32
130;2;609;281;56;32;vine_snake;54
131;0;231;470;86;225;motor_scooter;48
131;1;603;279;40;29;vine_snake;32
131;2;799;223;28;34;vine_snake;14
132;0;226;469;93;241;motor_scooter;24
132;1;560;260;39;23;vine_snake;18
133;0;222;467;96;242;ballplayer;22
133;1;536;250;57;32;vine_snake;44
134;0;219;465;97;243;motor_scooter;16
134;1;517;231;56;44;platypus;19
134;2;784;221;42;25;whistle;19
135;0;218;462;94;244;motor_scooter;22
135;1;495;217;56;44;lycaenid;22
136;0;255;639;52;65;whistle;69
136;1;212;460;75;174;knee_pad;19
136;2;463;217;65;37;dugong;94
137;0;255;645;46;55;whistle;21
137;1;210;457;74;183;neck_brace;13
137;2;774;220;50;33;thresher;45
137;3;449;206;57;42;vine_snake;38
138;0;258;656;35;41;whistle;17
138;1;428;187;56;44;ant;29
139;0;399;187;62;35;vine_snake;13
140;0;199;453;76;205;motor_scooter;23
140;1;384;181;55;34;vine_snake;21
142;0;196;452;76;207;motor_scooter;13
142;1;364;159;54;50;web_site;57
143;0;208;591;33;63;analog_clock;11
143;1;193;451;76;162;lawn_mower;12
143;2;798;223;23;36;golf_ball;10
143;3;341;153;55;39;bulletproof_vest;23
144;0;205;588;38;67;whistle;20
144;1;190;451;76;161;running_shoe;51
144;2;316;151;56;29;vine_snake;11
145;0;197;588;50;62;vine_snake;23
145;1;188;451;76;158;iron;12
145;2;302;139;45;41;vine_snake;34
146;0;191;586;55;57;whistle;29
146;1;185;450;75;157;knee_pad;11
146;2;798;224;22;35;whistle;16
146;3;280;119;51;42;cucumber;15
147;0;797;222;22;37;whistle;17
147;1;278;119;33;34;thresher;22
147;2;237;116;30;26;affenpinscher;15
148;0;202;583;41;64;vine_snake;19
148;1;798;223;20;36;whistle;18
148;2;221;101;45;36;beaver;19
149;0;197;582;45;69;whistle;30
149;1;172;448;79;191;dumbbell;20
149;2;196;93;52;35;beaver;16
150;0;168;446;82;204;knee_pad;43
151;0;165;445;81;213;bobsled;15
151;1;158;88;48;27;vine_snake;42
152;0;161;443;78;216;joystick;29
152;1;138;70;47;37;whistle;11
153;0;159;441;91;218;joystick;21
153;1;110;70;53;32;vine_snake;11
154;0;155;439;87;218;joystick;44
154;1;101;70;46;32;vine_snake;13
155;0;152;437;65;165;knee_pad;64
155;1;81;50;44;40;vine_snake;60
156;0;149;435;66;167;knee_pad;70
156;1;63;50;45;30;vine_snake;53
157;0;147;434;64;169;knee_pad;46
157;1;40;53;42;26;vine_snake;54
158;0;143;433;65;170;knee_pad;57
158;1;30;37;36;41;vine_snake;16
159;0;141;433;65;170;knee_pad;74
159;1;11;37;41;26;vine_snake;25
160;0;138;432;66;171;knee_pad;86
160;1;0;34;33;21;vine_snake;22
161;0;135;432;66;171;knee_pad;80
162;0;133;433;66;174;knee_pad;65
163;0;130;433;66;170;knee_pad;70
164;0;127;433;67;169;knee_pad;62
